"INSPECTION_ID","FACILITYID","INSPECTION_DATE","REQUIRE_REINSPECTION","CERTIFIED_FOOD_HANDLER","INSPECTION_TYPE","CHARGE_REVOCKED","Actions","CHARGE_DATE"
"{1B5F190A-0B96-4041-BF97-0000A4BA5DC3}","B1E0CA50-7B9C-4962-8221-58BDD600B9B6","2014/06/12","N","Yes","Compliance Inspection","","",""
"{34DA9AE4-7288-4A32-A67A-00048A671F52}","ED39D66B-F811-4504-B732-15F10F95BB74","2013/12/09","N","No","Re-inspection","","",""
"{C449B882-89A0-4F47-B05A-000C326432A1}","F1CFD836-8A73-4A03-85E0-1EE669470E26","2015/08/19","N","No","Compliance Inspection","","",""
"{43A21E70-E3CB-4389-8A72-0013ABFDEEC9}","3C2EADB5-9B24-4530-A6E7-D7BF842C51E1","2014/08/21","Y","Yes","Compliance Inspection","","Re-inspection Required",""
"{14CEA1CC-E7BD-4635-877D-0014375CFAA5}","B580B155-3ACC-4AD7-9AD4-691D7423EC98","2013/11/28","N","Yes","Compliance Inspection","","",""
"{BE7337D7-17E7-41E2-ACEA-001925F09B83}","6D8A4668-9281-4C5B-9BD8-0C5E8B794353","2013/11/14","Y","No","Compliance Inspection","","Re-inspection Required",""
"{6D8C417B-9329-4E44-8567-001978B4DD20}","675716DA-5734-4D1A-A1CE-24E0A3D7138C","2013/12/17","N","No","Compliance Inspection","","",""
"{FFD8DE8F-2874-42FF-9F9E-001A7FA9584D}","2A649D0D-37BA-401F-AE9A-0F9769FC0483","2014/07/31","N","No","Compliance Inspection","","",""
"{C45B2081-E864-43CB-A569-0021567F3327}","9E860393-35E6-411A-9691-8130E7B27C52","2015/05/11","Y","No","Re-inspection","","Re-inspection Required",""
"{EFB6CC07-589C-45D6-AB87-0025D53898B5}","E8098610-56C0-458A-BEC2-C3C5D794BCB1","2014/06/26","N","Yes","Compliance Inspection","","",""
"{A633D29D-CD8D-4AD8-9D5B-00285587A5B0}","83C9358B-D9C0-4B53-9B2D-8B074372FEE5","2013/12/17","N","No","Compliance Inspection","","",""
"{080292DD-1EB7-45B7-8F6E-002899DDD763}","52BC99C5-EA75-45FD-99F1-0E3F25A0B270","2015/10/05","Y","No","Compliance Inspection","","Re-inspection Required",""
"{8E1A5C27-F4D1-4B3E-9940-00302EB76A06}","E7E22721-A143-49F7-B8E0-6A25A0DEE27C","2013/11/22","N","Yes","Compliance Inspection","","",""
"{79A73E93-DF65-4D5A-BF2F-0030FB848A67}","EF57771B-1597-4AE5-AAAD-B74874DF70D5","2014/03/25","N","No","Compliance Inspection","","",""
"{6A551971-3631-4E26-96D9-00394F6FF236}","D2023F9E-5152-43E5-820D-96559D0E78AF","2015/05/22","N","Yes","Compliance Inspection","","",""
"{49DC7336-87D6-4701-B27D-003E4B706564}","C7F9746D-0712-428F-8FAD-FB4A34336933","2015/09/11","N","No","Compliance Inspection","","",""
"{8750A5DC-2218-4BD9-AF8B-004057A9CD61}","363B6EE8-A061-4A43-958E-5067FEF85FA4","2014/09/16","N","Yes","Compliance Inspection","","",""
"{BAD36F72-FCAC-493A-AFD9-004154C48893}","D546DA5E-8F3F-47DC-B41E-96794AB2D837","2015/11/10","N","No","Re-inspection","","",""
"{DB4FCEA2-D8BC-4669-B625-00436AACEAB9}","E8A59689-0A9B-4BA7-8DA1-35A37AF13C72","2015/01/29","N","Yes","Compliance Inspection","","",""
"{E4D6FE58-03CC-4D02-9D61-0047129EF930}","9AE0AC8A-28B4-4E42-B9C5-DF2FF5113F97","2015/04/09","N","Yes","Compliance Inspection","","",""
"{CB8AACFA-15D9-48E9-9D8F-0047A12C3244}","7F8956FC-FBAA-4405-94F1-6D80EA3625EC","2014/09/02","N","No","Compliance Inspection","","",""
